腊排骨,1659
水性杨花,995
酥油茶,727
鸡豆凉粉,709
黑山羊火锅,561
汽锅鸡,250
野生菌,223
杜鹃花炒蛋,16
破酥粑粑,792
饵丝,622
三道茶,445
凉鸡米线,274
酸辣鱼,244
砂锅鱼,106
生皮,62
弓鱼,43
卷蹄,4
老奶洋芋,276
汽锅鸡,140
云南米线,42
烧饵块,40
大救驾,20
野山菌,9
豆焖饭,8
路南乳饼,1
酥油茶,544
酸奶,318
青稞酒,254
糌粑,75
琵琶肉,16
水果,270
烤鱼,159
酸笋,24
炸牛皮,12
香竹饭,9
罗嗦,8
喃眯,3
大救驾,137
饵丝,126
稀豆粉,94
土锅子,83
头脑,43
三滴水,3
果脯,2
大簿片,1
花米饭,41
砂锅饭,39
辣鸡粉,3
全锅汤,1
酸笋,1
米线,36
水果,32
绿叶宴,1
玉溪米线,63
饵丝,192
大救驾,164
稀豆粉,109
和顺头脑,50
大薄片,21
施甸三味,7
三滴水,4
坛子鸡,2
花山带皮羊肉,26
蒸饵丝,22
辣子鸡,9
洋芋鸡,3
砚山米线,59
三七汽锅鸡,7
花糯米饭,4
醉虾,1
龙抄手,730
豆花,564
担担面,525
钟水饺,491
串串香,469
三大炮,424
兔头,416
肥肠粉,389
夫妻肺片,337
冒菜,289
牦牛肉,383
青稞酒,316
酥油茶,289
青稞饼,129
酸奶,100
糌粑,23
荞麦面食,7
酸菜面块,1
豆花,110
素斋,87
抄手,85
烧烤,64
豆腐脑,54
钵钵鸡,24
卤鸭,23
咔饼,14
汤锅,14
叶儿粑,9
酥油茶,249
牦牛肉,240
酸奶,106
青稞酒,67
青稞饼,62
糌粑,48
松茸炖鸡,37
风干肉,7
玉米面,3
烙饼,1
葱葱卷,10
尤兔头,10
冰粉,9
渣渣面,8
白果炖鸡,7
手掌鸡,3
酥油茶,200
牦牛肉,161
温泉鸡蛋,153
酸奶,132
面食,76
青稞酒,49
糌粑,41
凉粉,38
烧烤,211
醉虾,124
米粉,86
坨坨肉,45
炸洋芋,12
黄辣丁,3
鱼头火锅,2
西湖醋鱼,805
东坡肉,735
知味小笼,701
龙井虾仁,276
宋嫂鱼羹,271
片儿川面,255
猫耳朵,196
西湖莼菜汤,148
虾爆鳝面,117
杭州酱鸭,107
油炸臭豆腐,306
梅干菜焖肉,106
奶油小攀,77
糟鸡,58
酱鸭,21
萝卜丝饼,17
醉蟹,13
木莲羹,13
西施豆腐,9
霉苋菜梗,6
宁波汤团,78
鲜肉蒸馄饨,35
宁波烤菜,10
鲜肉小笼包子,9
宁波年糕,4
雪菜大黄鱼,4
冰糖甲鱼,3
宁波三臭,3
腐皮包黄鱼,3
豆沙八宝饭,2
梭子蟹,75
舟山黄鱼,53
舟山带鱼,36
鲳鱼,14
双浇面,84
臭豆腐干,35
千张包,23
南浔香大头菜,18
绣花锦菜,14
浔蹄,13
熏豆茶,12
风枵,6
旁皮鱼,1
海鲜烧烤,85
海鲜面,80
枸杞贻贝,62
嵊泗梭子蟹,52
嵊山带鱼,25
嵊泗墨鱼,10
石花草,2
红烧溪鱼,6
黄米果,3
安仁鱼头火锅,3
抱罗粉,800
清补凉,667
水果炒冰,532
椰子饭,523
文昌鸡,380
和乐蟹,340
东山羊,158
加积鸭,104
陵水酸粉,77
竹筒饭,25
清补凉,44
海南粉,36
陵水酸粉,18
椰子饭,15
鱼煲,1
沙茶面,3347
海蛎煎,2396
花生汤,1841
土笋冻,1825
烧肉粽,1100
春卷,699
七星鱼丸,158
荔枝肉,37
芋泥,33
佛跳墙,27
鸡茸鱼唇,6
岚谷熏鹅,43
田螺,14
文公菜,1
剑蛏,9
苦螺,6
阿达元宵,4
鸭血粉丝汤,882
牛肉锅贴,345
盐水鸭,312
赤豆元宵,281
桂花糖芋苗,189
鸡汁汤包,170
鸭油酥烧饼,92
皮肚面,59
梅花糕,50
什锦豆腐涝,16
生煎,450
松鼠桂鱼,189
碧螺虾仁,136
阳澄湖大闸蟹,125
响油鳝糊,70
桂花鸡头米,66
樱桃肉,32
常熟叫化鸡,32
莼菜汤,21
鲃肺汤,9
无锡小笼,270
三鲜馄饨,181
无锡酱排骨,80
无锡三白,73
豆腐花,70
玉兰饼,45
梁溪脆鳝,8
镜箱豆腐,5
四色汤团,4
肉酿面筋,4
大煮干丝,319
扬州炒饭,305
狮子头,266
干菜包子,241
三丁包子,182
四喜汤团,129
黄桥烧饼,118
翡翠烧卖,99
扬州饼食,93
千层油糕,56
砂锅鱼头,97
银丝面,16
扎肝,13
加蟹小笼,11
麻糕,9
虾饼,5
螃蟹,3
三鲜馄饨,1
蟹壳黄,1
肴肉,98
清炖蟹肉狮子头,42
镇江锅盖面,31
蟹黄汤包,20
镇江河鲜,9
铜蟹,6
小鱼煎饼,6
虾婆婆,3
凉粉,3
沙光鱼,2
豆丹,2
汤,466
叉烧,216
烧鹅,112
叉烧包,87
猪手,73
牛河,53
煲仔饭,50
荷叶饭,2
冬瓜盅,2
鲜蚝,37
乳鸽,28
海胆,21
烧鹅,7
鲍鱼,5
基围虾,4
横琴蚝,39
海虾,13
凤爪,7
莲藕,2
膏蟹,2
河虾,1
重壳蟹,1
对虾,1
脆肉鲩,1
酿豆腐,4
白切鸡,3
梅菜扣肉,2
狗肉煲,2
盐焗鸡,1
双皮奶,50
云吞面,10
伦教糕,8
九层糕,1
牛肉丸,153
肠粉,149
粿条,144
蚝烙,106
粽球,91
牛肉火锅,83
粿汁,71
糯米猪肠,17
腐乳饼,15
薄壳米,15
坑螺,16
扣肉,4
烟肉,2
田螺香煲,2
豆豉鱼,2
黑山羊腿,2
棘胸蛙,1
冷水肚,1
白切鸡,7
簸箕炊,1
裹蒸粽,40
豆腐花,23
牛肉,6
鼎湖上素,4
竹篙粉,2
杏花鸡,2
文庆鲤,1
海鲜宴,132
烧鹅,19
狗肉,9
濑粉,8
黄鳝饭,33
彪记羊肉,5
开平烧肉,1
赤坎鸭粥,1
马冈濑粉,1
擂茶,3
菜稞,1
五果汤,1
漓江鱼,1581
桂林米粉,1138
酿,555
田螺,551
荔浦芋扣肉,72
漓江虾,67
拔丝芋头,47
马蹄糕,14
松糕,7
烤乳猪,4
啤酒鱼,881
酿,290
斑鱼火锅,88
黄焖鸡,68
荔浦芋扣肉,34
素炒漓江虾,5
海鲜,608
烧烤,254
糖水,189
卷粉,93
猪脚粉,17
鸡饭,13
米粉,55
烧烤,52
甜品,29
粥,18
炒螺,15
酸嘢,12
凉茶,12
云吞,9
牛杂,7
糍粑,6
贺州菜酿,24
牛肠酸,6
黄田扣肉,5
三黄鸡,2
客家盐酒鸡,2
豆豉排骨,1
香猪,20
油鱼,14
黄玉米,7
火麻汤,7
黑山羊,8
一鱼多吃,3
猪血肠,1
鱼生,1
甜茶,634
酸奶,577
酥油茶,573
藏面,278
青稞酒,235
糌粑,212
凉粉,66
土豆包子,34
牦牛肉干,27
酥油茶,21
酸奶,12
糌粑,12
青稞酒,8
酸汤鱼,374
牛肉粉,117
长桌宴,104
糯米饭,70
牛羊瘪,38
榕江卷粉,18
豆花烤鱼,86
杨梅汤,76
割肉粉、豆花面,52
糯米饭,40
酸肉,18
臭酸、虾酸,17
水蕨菜,13
鱼包韭菜,3
荔波风猪,3
羊肉粉,14
红油米皮,9
豆花面,8
洋芋粑粑,4
恋爱豆腐,4
鸡蛋糕,2
豆花,31
腊肉、腊肠,27
筒筒笋,9
猪儿粑,6
赤水河鱼,5
肉夹馍,1656
灌汤包,1346
凉皮,1176
胡辣汤,602
酸菜炒米,380
冰峰汽水,312
甑糕,230
涮牛肚,189
锅盔,177
水盆羊肉,174
驴肉黄面,637
杏皮水,417
敦煌酿皮子,130
敦煌臊子面,92
羊肉粉汤,54
敦煌浆水面,38
酸奶,406
酿皮,159
手抓羊肉,94
羊肠面,62
甜醅,60
干拌,15
青海土火锅,13
尕面片,10
熬茶,9
兰州牛肉面,333
酿皮,107
杏皮水,93
手抓羊肉及黄焖羊肉,90
甜醅,85
牛奶鸡蛋醪糟,60
灰豆子,53
炒面片,32
三泡台,25
烤羊肉串,25
酸奶,234
酥油茶,104
糌粑,104
手抓肉,95
藏包,66
蕨麻米饭,13
蕨麻猪,9
拉卜楞面包,2
烤肉,113
大盘鸡,93
手抓饭,85
馕,79
拌面,50
奶茶,39
烤包子,37
烤全羊,14
米肠子与面肺子,9
羊杂碎,2
手抓羊肉,64
羊杂碎,23
八宝茶,20
羊肉搓面,18
黄河鲤鱼,11
香酥鸡,2
搓鱼,127
卷子鸡,89
炒炮,62
牛肉小饭,53
杏皮茶,36
炒拨拉,14
胡辣羊蹄,5
三泡台,4
羊肉香头面&羊筏子,3
烤肉,87
手抓饭,65
马奶,59
冰淇淋,33
卡瓦斯,26
凉粉,9
马肠,8
纳仁,6
米肠,6
油塔子,2
杏皮茶,122
嘉峪关面食,84
嘉峪关烤肉,75
沙葱,5
泡泡油糕,3
馕,85
酸奶,57
抓饭,53
羊肉串,32
拌面,28
冰淇凌,17
切糕,9
石榴汁,8
凉皮,6
馕坑肉,4
水果,190
烤肉,47
馕,42
拌面,34
手抓饭,24
卡瓦斯,16
烤全羊,14
面皮,45
菜豆腐,36
粉皮,10
浆水面,6
罐罐茶,4
红豆腐,3
榆林豆腐,14
羊杂碎,9
拼三鲜,5
炸豆奶,1
酿皮,11
干拌,1
烧烤,1229
蛤蜊,658
鲅鱼,468
排骨饭,374
鲍鱼,272
凉粉,241
海螺,215
笔管,105
三鲜锅贴,32
肉末海参,28
油旋,91
九转大肠,78
糖醋鲤鱼,49
爆炒腰花,29
甜沫,27
打卤面,9
坛子肉,4
煎饼,256
烧烤,74
泰山三美,31
赤鳞鱼,13
豆腐宴,3
野菜宴,2
枣糕,2
药膳宴,1
鲅鱼水饺,18
小鸡炖蘑菇,2
红烧海参,1
爆炒天鹅蛋,1
海鲜,386
蓬莱小面,64
鲜鱼水饺,34
杠子头,14
焖子,13
福山大面,4
卤驴肉,2
八仙宴,1
花蛤,117
煎饼,36
沙根子粉,10
西施舌,2
鲜鱼水饺,60
铁板鱿鱼,16
大虾,12
海菜包子,12
寄居蟹,9
海鲜,119
鲜鱼水饺,64
蓬莱小面,48
蓬莱馒头,15
咸鱼饼子,9
八仙宴,1
煎饼,37
孔府宴,18
熏豆腐,13
鸭子,5
带子上朝,2
甏肉干饭,1
栲姥姥,324
碗托,310
平遥牛肉,300
山药,139
香草肉,123
沙棘汁,112
过油肉,77
水煎包,45
手工月饼,43
八碗八碟,7
山西面食,113
羊杂割,55
过油肉,30
荞面灌肠,24
太原稍梅,20
傅山头脑,19
丸子汤,17
老鼠窟元宵,6
鸡蛋醪糟,4
太原老豆腐,3
浑源凉粉,216
刀削面,191
莜面,78
羊杂粉汤,72
烧麦,72
兔头,52
黄糕,30
大同铜火锅,4
大同烤羊排,3
炒盔垒,1
三下锅,361
腊野味,188
葛根粉,154
小炒肉,14
猕猴桃汁,14
血豆腐,6
臭豆腐,536
糖油粑粑,221
口味虾,185
杨裕兴,121
姊妹团子,38
剁椒鱼头,25
刮凉粉,23
德园,21
麻辣仔鸡,11
黄鸭叫,8
热干面,1049
豆皮,659
武昌鱼,324
鸭脖,320
鲜鱼糊汤粉,153
烧麦,134
面窝,131
油焖大虾,103
欢喜坨,39
排骨莲藕汤,33
合渣 ,80
恩施豆皮,42
格格,29
莼菜,13
油茶汤,9
薇菜烧腊肉,3
掉渣饼,1
鲊广椒,1
神豆腐,1
刁子鱼,1
神农架腊肉,45
懒豆腐,31
渣广椒,2
干煸土鱼,2
神农腊猪蹄,1
麻豆,1
毛豆腐,411
臭鳜鱼,297
蟹壳黄,241
石鸡,61
蕨菜,36
一品锅,16
腊八豆腐,9
甜酒,2
芙蓉糕,2
豆腐老鼠,1
小龙虾,12
老母鸡汤,7
臭鳜鱼,6
鸭油烧饼,6
四大名点,2
吴山贡鹅,1
荷包红鲤鱼,238
清明果,172
糊豆腐,136
粉蒸肉,120
山蕨,96
婺源汽糕,25
灰汁果,7
石鱼爆蛋,123
庐山石耳,103
庐山石鸡,86
庐山小白菜,29
笋衣烧肉,24
庐山野芹菜,6
瓦罐煨汤,45
南昌米粉,23
米粉蒸肉,6
藜蒿炒腊肉,5
风味烤卤,5
白糖糕,2
油炸小品,1
冷粉,21
碱水粑,19
油炸清汤,10
饺子粑,8
苦槠豆腐,6
红米饭,24
南瓜汤,18
烟笋烧肉,5
石耳炖武山鸡,5
莲花血鸭,3
石鸡,3
永新狗肉,1
螃蟹,182
皮皮虾,96
贝类,77
八爪鱼,14
面条鱼,1
碗坨,8
鲜花玫瑰饼,4
荞面饸饹,4
饽饽,4
承德凉粉,3
银丝杂面,2
御土荷叶鸡,2
汽锅野味八仙,1
饸饹,21
粉坨,18
黄糕,13
五香豆干,12
八大碗,9
洛阳水席,202
胡辣汤,78
牛肉汤,58
羊肉汤,48
浆面条,46
驴肉汤,31
烩面,52
胡辣汤,27
油馍头,1
肉盒,1
开花馍,1
花糕,1
灌汤包,139
杏仁茶,48
炒凉粉,42
桶子鸡,29
红薯泥,18
炕馍,17
火烧,13
羊蹄,9
兔肉,6
锅贴豆腐,2
扁粉菜,12
粉浆饭,9
相州皮渣,8
血糕,7
胡辣汤,3
扣碗酥肉,1
三不沾,1
安阳三熏,1
奶茶,305
手扒肉,273
烤羊腿,125
风干牛肉干,85
烤全羊,70
马奶酒,48
烤全羊,478
华子鱼,169
蒙古奶茶,101
手把肉,92
奶豆腐,33
奶茶,93
手把肉,74
烧烤,66
涮羊肉,40
烤全羊,27
烤羊腿,26
莜面,23
炒米,19
五彩雪花扇贝,120
清蒸灯笼鲍鱼,90
焖子,82
铁板鱿鱼,20
清蒸加吉鱼,3
虾酱,3
炒海肠,2
红烤全虾,1
老边饺子,97
冷面,69
李连贵熏肉大饼,67
沈阳回头,43
打糕,8
白肉血肠,7
吊炉饼,5
老山记海城馅饼,4
满汉全席,3
马烧麦,1
白肉血肠,2
海鲜,112
烧烤,108
焖子,15
朝鲜风味,14
大香蕉汽水,13
酸汤子,5
白肉血肠,3
庆岭活鱼,2
清蒸白鱼,1
河蟹,165
炒河虾,22
香螺,8
北京烤鸭,1891
炸酱面,1278
瓷瓶儿酸奶,1256
炒肝,859
爆肚,837
豆汁儿焦圈,809
卤煮,575
豌豆黄,453
驴打滚,446
冰糖葫芦,376
煎饼果子,360
锅巴菜,223
熟梨糕,107
罾蹦鲤鱼,40
爆三样,35
八大碗,19
笃面筋,10
炒青虾仁,8
贴饽饽,6
坛子肉,1
火锅,2916
酸辣粉,1363
小面,1321
抄手,916
鸡杂,755
豆花,660
毛血旺,496
泉水鸡,203
辣子鸡,180
水煮鱼,169
生煎,479
汤包,303
红烧肉,68
鲜肉月饼,54
白斩鸡,40
排骨年糕,35
糕团,28
糖醋小排,26
酱鸭,25
熏鱼,20
